,first_name,last_name,full_name,type,state,district,party,page_id
42,Larry,Bucshon,Larry Bucshon,rep,IN,8.0,Republican,151186089494
43,Michael,Burgess,Michael C. Burgess,rep,TX,26.0,Republican,104898837935556
44,Richard,Burr,Richard Burr,sen,NC,,Republican,1596102157365797
45,George,Butterfield,G. K. Butterfield,rep,NC,1.0,Democrat,108864587529774
46,Ken,Calvert,Ken Calvert,rep,CA,42.0,Republican,9157920604
47,Shelley,Capito,Shelley Moore Capito,sen,WV,,Republican,492934580740220
48,André,Carson,André Carson,rep,IN,7.0,Democrat,123884330964019
49,John,Carter,John R. Carter,rep,TX,31.0,Republican,6766783198
50,Bill,Cassidy,Bill Cassidy,sen,LA,,Republican,80987211775
51,Kathy,Castor,Kathy Castor,rep,FL,14.0,Democrat,1756203764401219
52,Steve,Chabot,Steve Chabot,rep,OH,1.0,Republican,105908984600679
53,Judy,Chu,Judy Chu,rep,CA,27.0,Democrat,41228315130
54,David,Cicilline,David N. Cicilline,rep,RI,1.0,Democrat,9514417573
55,Yvette,Clarke,Yvette D. Clarke,rep,NY,9.0,Democrat,208375572621634
56,Emanuel,Cleaver,Emanuel Cleaver,rep,MO,5.0,Democrat,7954512692
57,James,Clyburn,James E. Clyburn,rep,SC,6.0,Democrat,127744320598870
58,Steve,Cohen,Steve Cohen,rep,TN,9.0,Democrat,6358769182
59,Tom,Cole,Tom Cole,rep,OK,4.0,Republican,239866352781313
60,Gerald,Connolly,Gerald E. Connolly,rep,VA,11.0,Democrat,15224565129
61,Jim,Cooper,Jim Cooper,rep,TN,5.0,Democrat,318714801543186
62,Jim,Costa,Jim Costa,rep,CA,16.0,Democrat,704516012940877
63,Joe,Courtney,Joe Courtney,rep,CT,2.0,Democrat,6596078916
64,Michael,Crapo,Mike Crapo,sen,ID,,Republican,286049384763373
65,Eric,Crawford,"Eric A. ""Rick"" Crawford",rep,AR,1.0,Republican,2429204567121956
66,Henry,Cuellar,Henry Cuellar,rep,TX,28.0,Democrat,248922701788783
67,Danny,Davis,Danny K. Davis,rep,IL,7.0,Democrat,109673587226930
68,Peter,DeFazio,Peter A. DeFazio,rep,OR,4.0,Democrat,7090829369
69,Diana,DeGette,Diana DeGette,rep,CO,1.0,Democrat,9068720389
70,Rosa,DeLauro,Rosa L. DeLauro,rep,CT,3.0,Democrat,6274109770
71,Scott,DesJarlais,Scott DesJarlais,rep,TN,4.0,Republican,
72,Theodore,Deutch,Theodore E. Deutch,rep,FL,22.0,Democrat,187975486067
73,Mario,Diaz-Balart,Mario Diaz-Balart,rep,FL,25.0,Republican,9312415125
74,Lloyd,Doggett,Lloyd Doggett,rep,TX,35.0,Democrat,6433783047
75,Michael,Doyle,Michael F. Doyle,rep,PA,18.0,Democrat,174750213023790
