first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id
Brett,Guthrie,Brett Guthrie,rep,KY,2.0,Republican,CongressmanGuthrie,,0,21836146886
Andy,Harris,Andy Harris,rep,MD,1.0,Republican,AndyHarrisMD,,0,113771221981233
Vicky,Hartzler,Vicky Hartzler,rep,MO,4.0,Republican,Congresswoman.Hartzler,,0,113511682005041
Martin,Heinrich,Martin Heinrich,sen,NM,,Democrat,MartinHeinrich,Senator Martin Heinrich,100044238679030,137363449669160
Jaime,Herrera Beutler,Jaime Herrera Beutler,rep,WA,3.0,Republican,herrerabeutler,Jaime Herrera Beutler,100044428599704,177551525610164
Brian,Higgins,Brian Higgins,rep,NY,26.0,Democrat,RepBrianHiggins,,0,15087035334
James,Himes,James A. Himes,rep,CT,4.0,Democrat,CongressmanJimHimes,,0,no match
Mazie,Hirono,Mazie K. Hirono,sen,HI,,Democrat,senatorhirono,,0,no match
John,Hoeven,John Hoeven,sen,ND,,Republican,SenatorJohnHoeven,Senator John Hoeven,100044866340344,no match
Steny,Hoyer,Steny H. Hoyer,rep,MD,5.0,Democrat,WhipHoyer,,0,no match
Bill,Huizenga,Bill Huizenga,rep,MI,2.0,Republican,RepHuizenga,,0,129208720460165
Sheila,Jackson Lee,Sheila Jackson Lee,rep,TX,18.0,Democrat,CongresswomanSheilaJacksonLee,Congresswoman Sheila Jackson Lee,100044202950815,552403241860058
Bill,Johnson,Bill Johnson,rep,OH,6.0,Republican,RepBillJohnson,Bill Johnson,100044241828943,208149456389
Eddie,Johnson,Eddie Bernice Johnson,rep,TX,30.0,Democrat,CongresswomanEBJtx30,,0,no match
Henry,Johnson,"Henry C. ""Hank"" Johnson, Jr.",rep,GA,4.0,Democrat,115356957005,Congressman Hank Johnson,100044497151545,no match
Ron,Johnson,Ron Johnson,sen,WI,,Republican,senronjohnson,,0,119707748062556
Jim,Jordan,Jim Jordan,rep,OH,4.0,Republican,repjimjordan,Jim Jordan,100044528765819,7814597100
Marcy,Kaptur,Marcy Kaptur,rep,OH,9.0,Democrat,RepresentativeMarcyKaptur,,0,173753129419169
William,Keating,William R. Keating,rep,MA,9.0,Democrat,Congressman.Keating,,0,no match
Mike,Kelly,Mike Kelly,rep,PA,16.0,Republican,191056827594903,Representative Mike Kelly,100044579347462,331707031806
Ron,Kind,Ron Kind,rep,WI,3.0,Democrat,repronkind,Rep. Ron Kind,100044805845460,6396394069
Adam,Kinzinger,Adam Kinzinger,rep,IL,16.0,Republican,RepKinzinger,Rep. Adam Kinzinger,100044305065600,62009756135
Doug,Lamborn,Doug Lamborn,rep,CO,5.0,Republican,CongressmanDougLamborn,Congressman Doug Lamborn,100045095824211,219926985268795
James,Langevin,James R. Langevin,rep,RI,2.0,Democrat,CongressmanJimLangevin,,0,no match
James,Lankford,James Lankford,sen,OK,,Republican,SenatorLankford,Senator James Lankford,100044432946364,151092200743
Rick,Larsen,Rick Larsen,rep,WA,2.0,Democrat,RepRickLarsen,Representative Rick Larsen,100044630520266,20809300888
John,Larson,John B. Larson,rep,CT,1.0,Democrat,RepJohnLarson,,0,107556969286867
Robert,Latta,Robert E. Latta,rep,OH,5.0,Republican,boblatta,,0,no match
Patrick,Leahy,Patrick J. Leahy,sen,VT,,Democrat,SenatorPatrickLeahy,,0,no match
Barbara,Lee,Barbara Lee,rep,CA,13.0,Democrat,RepBarbaraLee,,0,176548369099092
Mike,Lee,Mike Lee,sen,UT,,Republican,senatormikelee,United States Senator Mike Lee,100044151473855,203550842430
Zoe,Lofgren,Zoe Lofgren,rep,CA,19.0,Democrat,zoelofgren,,0,6540213748
Billy,Long,Billy Long,rep,MO,7.0,Republican,Rep.Billy.Long,,0,225418785297
Frank,Lucas,Frank D. Lucas,rep,OK,3.0,Republican,RepFrankLucas,Congressman Frank Lucas,100044780551768,no match
Blaine,Luetkemeyer,Blaine Luetkemeyer,rep,MO,3.0,Republican,BlaineLuetkemeyer,,0,315324541967534
Ben,Luján,Ben Ray Luján,sen,NM,,Democrat,,,0,13063797831
Stephen,Lynch,Stephen F. Lynch,rep,MA,8.0,Democrat,repstephenlynch,,0,544559152234818
Carolyn,Maloney,Carolyn B. Maloney,rep,NY,12.0,Democrat,RepCarolynMaloney,Rep. Carolyn B. Maloney,100057727794330,7835151610
Edward,Markey,Edward J. Markey,sen,MA,,Democrat,EdJMarkey,,0,no match
Doris,Matsui,Doris O. Matsui,rep,CA,6.0,Democrat,doris.matsui,,0,no match
Kevin,McCarthy,Kevin McCarthy,rep,CA,23.0,Republican,CongressmanKevinMcCarthy,,0,159964696102
Michael,McCaul,Michael T. McCaul,rep,TX,10.0,Republican,michaeltmccaul,Michael McCaul,100045271561555,no match
Tom,McClintock,Tom McClintock,rep,CA,4.0,Republican,81125319109,,0,11234736860
Betty,McCollum,Betty McCollum,rep,MN,4.0,Democrat,repbettymccollum,Congresswoman Betty McCollum,100045099313469,282013615225217
James,McGovern,James P. McGovern,rep,MA,2.0,Democrat,RepJimMcGovern,Congressman Jim McGovern,100044176372463,no match
Patrick,McHenry,Patrick T. McHenry,rep,NC,10.0,Republican,CongressmanMcHenry,Patrick McHenry,100044297570801,no match
David,McKinley,David B. McKinley,rep,WV,1.0,Republican,RepMcKinley,,0,no match
Cathy,Rodgers,Cathy McMorris Rodgers,rep,WA,5.0,Republican,mcmorrisrodgers,,0,15351475322
Jerry,McNerney,Jerry McNerney,rep,CA,9.0,Democrat,jerrymcnerney,Congressman Jerry McNerney,100058093540766,6553468980
Gregory,Meeks,Gregory W. Meeks,rep,NY,5.0,Democrat,gregorymeeksny05,,0,no match
Gwen,Moore,Gwen Moore,rep,WI,4.0,Democrat,GwenSMoore,,0,146490545545796
Jerry,Moran,Jerry Moran,sen,KS,,Republican,jerrymoran,,0,no match
Lisa,Murkowski,Lisa Murkowski,sen,AK,,Republican,SenLisaMurkowski,Lisa Murkowski,100044343943390,no match
Christopher,Murphy,Christopher Murphy,sen,CT,,Democrat,chrismurphyct,Chris Murphy,100044529455512,474444949963480
Patty,Murray,Patty Murray,sen,WA,,Democrat,,,0,131182018871
Jerrold,Nadler,Jerrold Nadler,rep,NY,10.0,Democrat,CongressmanNadler,,0,no match
Grace,Napolitano,Grace F. Napolitano,rep,CA,32.0,Democrat,RepGraceNapolitano,,0,no match
Richard,Neal,Richard E. Neal,rep,MA,1.0,Democrat,reprichardneal,,0,no match
Eleanor,Norton,Eleanor Holmes Norton,rep,DC,0.0,Democrat,CongresswomanNorton,,0,19575976198
Devin,Nunes,Devin Nunes,rep,CA,22.0,Republican,,,0,834645469890446
Steven,Palazzo,Steven M. Palazzo,rep,MS,4.0,Republican,stevenpalazzo,Congressman Steven Palazzo,100044636820202,no match
Frank,Pallone,"Frank Pallone, Jr.",rep,NJ,6.0,Democrat,repfrankpallone,Frank Pallone Jr.,100044903760147,no match
Bill,Pascrell,"Bill Pascrell, Jr.",rep,NJ,9.0,Democrat,pascrell,,0,303312929155
Rand,Paul,Rand Paul,sen,KY,,Republican,SenatorRandPaul,Senator Rand Paul,100044348473513,54172246106
Nancy,Pelosi,Nancy Pelosi,rep,CA,12.0,Democrat,NancyPelosi,House Speaker Nancy Pelosi,100044484547468,1711465445765878
Ed,Perlmutter,Ed Perlmutter,rep,CO,7.0,Democrat,RepPerlmutter,,0,7801901317
Gary,Peters,Gary C. Peters,sen,MI,,Democrat,SenGaryPeters,Senator Gary Peters,100044411500204,no match
Chellie,Pingree,Chellie Pingree,rep,ME,1.0,Democrat,ChelliePingree,,0,7536934917
Robert,Portman,Rob Portman,sen,OH,,Republican,senrobportman,,0,45243961073
Bill,Posey,Bill Posey,rep,FL,8.0,Republican,bill.posey15,,0,280117065340803
David,Price,David E. Price,rep,NC,4.0,Democrat,RepDavidEPrice,,0,no match
Mike,Quigley,Mike Quigley,rep,IL,5.0,Democrat,repmikequigley,Mike Quigley,100044421279783,122732761250977
Tom,Reed,Tom Reed,rep,NY,23.0,Republican,RepTomReed,Rep. Tom Reed,100044304540164,153594440504
Harold,Rogers,Harold Rogers,rep,KY,5.0,Republican,CongressmanHalRogers,Congressman Hal Rogers,100044814489669,no match
Mike,Rogers,Mike Rogers,rep,AL,3.0,Republican,CongressmanMikeDRogers,,0,6406874733
Lucille,Roybal-Allard,Lucille Roybal-Allard,rep,CA,40.0,Democrat,RepRoybalAllard,Rep. Lucille Roybal-Allard,100045750427666,1702437206742877
Marco,Rubio,Marco Rubio,sen,FL,,Republican,SenatorMarcoRubio,Senator Marco Rubio,100044386058003,58736997707
C.,Ruppersberger,C. A. Dutch Ruppersberger,rep,MD,2.0,Democrat,DutchRupp,,0,no match
Bobby,Rush,Bobby L. Rush,rep,IL,1.0,Democrat,congressmanbobbyrush,Congressman Bobby L. Rush,100046980950439,no match
Tim,Ryan,Tim Ryan,rep,OH,13.0,Democrat,timryan,,0,197908256931216
Gregorio,Sablan,Gregorio Kilili Camacho Sablan,rep,MP,0.0,Democrat,153423912663,Gregorio Kilili Camacho Sablan,100047143423918,153423912663
John,Sarbanes,John P. Sarbanes,rep,MD,3.0,Democrat,RepSarbanes,Congressman John Sarbanes,100045256262332,no match
Steve,Scalise,Steve Scalise,rep,LA,1.0,Republican,RepSteveScalise,Congressman Steve Scalise,100044574243354,745304825534862
Janice,Schakowsky,Janice D. Schakowsky,rep,IL,9.0,Democrat,janschakowsky,Jan Schakowsky,100044410630117,no match
Adam,Schiff,Adam B. Schiff,rep,CA,28.0,Democrat,RepAdamSchiff,Congressman Adam Schiff,100044453648646,no match
Kurt,Schrader,Kurt Schrader,rep,OR,5.0,Democrat,repschrader,Congressman Kurt Schrader,100044865212421,17146554445
Charles,Schumer,Charles E. Schumer,sen,NY,,Democrat,senschumer,Senator Chuck Schumer,100044238375809,no match
David,Schweikert,David Schweikert,rep,AZ,6.0,Republican,repdavidschweikert,,0,157652584384932
Austin,Scott,Austin Scott,rep,GA,8.0,Republican,RepAustinScott,Rep. Austin Scott,100044139954294,131177916946914
David,Scott,David Scott,rep,GA,13.0,Democrat,113303673339,Congressman David Scott,100047215571162,159817223047
Robert,Scott,"Robert C. ""Bobby"" Scott",rep,VA,3.0,Democrat,RepBobbyScott,Congressman Bobby Scott,100045212670157,no match
Tim,Scott,Tim Scott,sen,SC,,Republican,SenatorTimScott,Tim Scott,100044205380834,349068689306
Terri,Sewell,Terri Sewell,rep,AL,7.0,Democrat,RepSewell,Rep. Terri Sewell,100044561645892,429681917483068
Richard,Shelby,Richard C. Shelby,sen,AL,,Republican,RichardShelby,Senator Richard Shelby,100044773532258,no match
Brad,Sherman,Brad Sherman,rep,CA,30.0,Democrat,63158229861,Congressman Brad Sherman,100044693033679,63158229861
Michael,Simpson,Michael K. Simpson,rep,ID,2.0,Republican,96007744606,,0,no match
Albio,Sires,Albio Sires,rep,NJ,8.0,Democrat,81058818750,Albio Sires,100045256502221,211797415586435
Adam,Smith,Adam Smith,rep,WA,9.0,Democrat,RepAdamSmith,Rep. Adam Smith,100044182491773,95538659845
Adrian,Smith,Adrian Smith,rep,NE,3.0,Republican,,,0,5962789983
Christopher,Smith,Christopher H. Smith,rep,NJ,4.0,Republican,RepChrisSmith,,0,no match
Jackie,Speier,Jackie Speier,rep,CA,14.0,Democrat,JackieSpeier,Congresswoman Jackie Speier,100044408410371,99332606976
Linda,Sánchez,Linda T. Sánchez,rep,CA,38.0,Democrat,CongresswomanLindaSanchez,,0,no match
Bennie,Thompson,Bennie G. Thompson,rep,MS,2.0,Democrat,CongressmanBennieGThompson,,0,no match
Mike,Thompson,Mike Thompson,rep,CA,5.0,Democrat,RepMikeThompson,,0,112743960260284
Glenn,Thompson,Glenn Thompson,rep,PA,15.0,Republican,CongressmanGT,Glenn Thompson,100057630506007,243590732373934
John,Thune,John Thune,sen,SD,,Republican,,,0,63002536261
Paul,Tonko,Paul Tonko,rep,NY,20.0,Democrat,reppaultonko,Paul D. Tonko,100045149076953,30671144824
Patrick,Toomey,Patrick J. Toomey,sen,PA,,Republican,senatortoomey,,0,no match
Michael,Turner,Michael R. Turner,rep,OH,10.0,Republican,RepMikeTurner,Mike Turner,100044190921043,no match
Fred,Upton,Fred Upton,rep,MI,6.0,Republican,RepFredUpton,Fred Upton,100044373589903,68563629337
Chris,Van Hollen,Chris Van Hollen,sen,MD,,Democrat,chrisvanhollen,,0,7320486731
Nydia,Velázquez,Nydia M. Velázquez,rep,NY,7.0,Democrat,8037068318,,0,no match
Tim,Walberg,Tim Walberg,rep,MI,7.0,Republican,RepWalberg,Rep Tim Walberg,100044152703467,9268326479
Debbie,Wasserman Schultz,Debbie Wasserman Schultz,rep,FL,23.0,Democrat,RepDWS,Rep. Debbie Wasserman Schultz,100044638800139,6444958138
Maxine,Waters,Maxine Waters,rep,CA,43.0,Democrat,MaxineWaters,,0,762930140568210
Daniel,Webster,Daniel Webster,rep,FL,11.0,Republican,RepWebster,,0,188572961157305
Peter,Welch,Peter Welch,rep,VT,0.0,Democrat,PeterWelch,,0,no match
Joe,Wilson,Joe Wilson,rep,SC,2.0,Republican,JoeWilson,,0,143654793536
Frederica,Wilson,Frederica S. Wilson,rep,FL,24.0,Democrat,RepWilson,,0,no match
Robert,Wittman,Robert J. Wittman,rep,VA,1.0,Republican,RepRobWittman,Rep. Rob Wittman,100044426469931,no match
Steve,Womack,Steve Womack,rep,AR,3.0,Republican,RepSteveWomack,,0,no match
Ron,Wyden,Ron Wyden,sen,OR,,Democrat,,,0,54787697857
John,Yarmuth,John A. Yarmuth,rep,KY,3.0,Democrat,214258646163,Congressman John Yarmuth (KY-3),100044285683368,no match
Don,Young,Don Young,rep,AK,0.0,Republican,RepDonYoung,Congressman Don Young,100044852987202,1494279480805358
Todd,Young,Todd Young,sen,IN,,Republican,SenatorToddYoung,Senator Todd Young,100044136504228,405355946226766
Mark,Amodei,Mark E. Amodei,rep,NV,2.0,Republican,MarkAmodeiNV2,,0,no match
Suzanne,Bonamici,Suzanne Bonamici,rep,OR,1.0,Democrat,congresswomanbonamici,Congresswoman Suzanne Bonamici,100044882989374,229108053793264
Suzan,DelBene,Suzan K. DelBene,rep,WA,1.0,Democrat,RepDelBene,,0,no match
Thomas,Massie,Thomas Massie,rep,KY,4.0,Republican,RepThomasMassie,,0,218721288205051
Donald,Payne,"Donald M. Payne, Jr.",rep,NJ,10.0,Democrat,DonaldPayneJr,Donald M. Payne Jr.,100047258616004,no match
Brian,Schatz,Brian Schatz,sen,HI,,Democrat,SenBrianSchatz,Senator Brian Schatz,100046859811307,58080781287
Bill,Foster,Bill Foster,rep,IL,11.0,Democrat,CongressmanBillFoster,,0,6196923117
Dina,Titus,Dina Titus,rep,NV,1.0,Democrat,CongresswomanTitus,,0,301842506513595
Tom,Cotton,Tom Cotton,sen,AR,,Republican,SenatorTomCotton,Senator Tom Cotton,100044233759125,224684514243482
Kyrsten,Sinema,Kyrsten Sinema,sen,AZ,,Democrat,CongresswomanSinema,,0,52563647525
Doug,LaMalfa,Doug LaMalfa,rep,CA,1.0,Republican,RepLaMalfa,Rep. Doug LaMalfa,100044702941828,163202650462603
Jared,Huffman,Jared Huffman,rep,CA,2.0,Democrat,RepHuffman,Congressman Jared Huffman,100044422871861,344330745672593
Ami,Bera,Ami Bera,rep,CA,7.0,Democrat,RepAmiBera,Congressman Ami Bera,100044617980971,528662157146886
Eric,Swalwell,Eric Swalwell,rep,CA,15.0,Democrat,CongressmanEricSwalwell,,0,281835005264380
Julia,Brownley,Julia Brownley,rep,CA,26.0,Democrat,RepJuliaBrownley,,0,276544112416355
Tony,Cárdenas,Tony Cárdenas,rep,CA,29.0,Democrat,repcardenas,,0,485493954794945
Raul,Ruiz,Raul Ruiz,rep,CA,36.0,Democrat,CongressmanRaulRuizMD,,0,245244468941114
Mark,Takano,Mark Takano,rep,CA,41.0,Democrat,RepMarkTakano,,0,159214207491260
Alan,Lowenthal,Alan S. Lowenthal,rep,CA,47.0,Democrat,RepLowenthal,,0,no match
Juan,Vargas,Juan Vargas,rep,CA,51.0,Democrat,RepJuanVargas,,0,1005557252958353
Scott,Peters,Scott H. Peters,rep,CA,52.0,Democrat,RepScottPeters,Congressman Scott Peters,100045080170090,no match
Lois,Frankel,Lois Frankel,rep,FL,21.0,Democrat,RepLoisFrankel,Rep. Lois Frankel,100044894083793,145862215492466
Tammy,Duckworth,Tammy Duckworth,sen,IL,,Democrat,SenDuckworth,,0,228132537208218
Rodney,Davis,Rodney Davis,rep,IL,13.0,Republican,RepRodneyDavis,Rep. Rodney Davis,100044510976355,334748476594191
