,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
14,14,Susan,Collins,Susan M. Collins,sen,ME,,Republican,susancollins,U.S. Senator Susan Collins,0,no match,missing,
15,15,John,Cornyn,John Cornyn,sen,TX,,Republican,sen.johncornyn,John Cornyn,100044537825073,355316521236121,done,
16,16,Richard,Durbin,Richard J. Durbin,sen,IL,,Democrat,SenatorDurbin,Senator Dick Durbin,100043928209397,no match,missing,
17,17,Lindsey,Graham,Lindsey Graham,sen,SC,,Republican,USSenatorLindseyGraham,U.S. Senator Lindsey Graham,257937783228,165987503528599,done,
18,18,James,Inhofe,James M. Inhofe,sen,OK,,Republican,jiminhofe,Senator Jim Inhofe,100044181078674,no match,missing,
19,19,Mitch,McConnell,Mitch McConnell,sen,KY,,Republican,mitchmcconnell,Senator Mitch McConnell,123994667639233,259130650776119,done,
20,20,Jeff,Merkley,Jeff Merkley,sen,OR,,Democrat,jeffmerkley,Senator Jeff Merkley,100044540165037,496696933682736,done,
21,21,John,Reed,Jack Reed,sen,RI,,Democrat,SenJackReed,Senator Jack Reed,0,1411485062416786,done,
22,22,James,Risch,James E. Risch,sen,ID,,Republican,senatorjimrisch,Senator Jim Risch,500772543609803,no match,missing,
23,23,Jeanne,Shaheen,Jeanne Shaheen,sen,NH,,Democrat,SenatorShaheen,Senator Jeanne Shaheen,100044415254490,6691963292,done,
24,24,Mark,Warner,Mark R. Warner,sen,VA,,Democrat,MarkRWarner,Senator Mark Warner,0,no match,missing,
25,25,Kirsten,Gillibrand,Kirsten E. Gillibrand,sen,NY,,Democrat,SenKirstenGillibrand,U.S. Senator Kirsten Gillibrand,100044454368535,no match,missing,
26,26,Christopher,Coons,Christopher A. Coons,sen,DE,,Democrat,senatorchriscoons,U.S. Senator Chris Coons,254950754518205,no match,missing,
27,27,Joe,Manchin,"Joe Manchin, III",sen,WV,,Democrat,JoeManchinIII,,0,no match,missing,
28,28,Robert,Aderholt,Robert B. Aderholt,rep,AL,4.0,Republican,RobertAderholt,,0,no match,missing,
29,29,Tammy,Baldwin,Tammy Baldwin,sen,WI,,Democrat,senatortammybaldwin,Senator Tammy Baldwin,100044433726307,7357041101,done,
