,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
217,217,Suzanne,Bonamici,Suzanne Bonamici,rep,OR,1.0,Democrat,congresswomanbonamici,Congresswoman Suzanne Bonamici,100044882989374,229108053793264,done,
218,218,Suzan,DelBene,Suzan K. DelBene,rep,WA,1.0,Democrat,RepDelBene,,0,no match,missing,
219,219,Thomas,Massie,Thomas Massie,rep,KY,4.0,Republican,RepThomasMassie,,0,218721288205051,done,
220,220,Donald,Payne,"Donald M. Payne, Jr.",rep,NJ,10.0,Democrat,DonaldPayneJr,Donald M. Payne Jr.,100047258616004,no match,missing,
221,221,Brian,Schatz,Brian Schatz,sen,HI,,Democrat,SenBrianSchatz,Senator Brian Schatz,100046859811307,58080781287,done,
222,222,Bill,Foster,Bill Foster,rep,IL,11.0,Democrat,CongressmanBillFoster,,0,6196923117,done,
223,223,Dina,Titus,Dina Titus,rep,NV,1.0,Democrat,CongresswomanTitus,,0,301842506513595,done,
224,224,Tom,Cotton,Tom Cotton,sen,AR,,Republican,SenatorTomCotton,Senator Tom Cotton,100044233759125,224684514243482,done,
225,225,Kyrsten,Sinema,Kyrsten Sinema,sen,AZ,,Democrat,CongresswomanSinema,,0,52563647525,done,
226,226,Doug,LaMalfa,Doug LaMalfa,rep,CA,1.0,Republican,RepLaMalfa,Rep. Doug LaMalfa,100044702941828,163202650462603,done,
227,227,Jared,Huffman,Jared Huffman,rep,CA,2.0,Democrat,RepHuffman,Congressman Jared Huffman,100044422871861,344330745672593,done,
228,228,Ami,Bera,Ami Bera,rep,CA,7.0,Democrat,RepAmiBera,Congressman Ami Bera,100044617980971,528662157146886,done,
229,229,Eric,Swalwell,Eric Swalwell,rep,CA,15.0,Democrat,CongressmanEricSwalwell,,0,281835005264380,done,
230,230,Julia,Brownley,Julia Brownley,rep,CA,26.0,Democrat,RepJuliaBrownley,,0,276544112416355,done,
231,231,Tony,Cárdenas,Tony Cárdenas,rep,CA,29.0,Democrat,repcardenas,,0,485493954794945,done,
232,232,Raul,Ruiz,Raul Ruiz,rep,CA,36.0,Democrat,CongressmanRaulRuizMD,,0,245244468941114,done,
233,233,Mark,Takano,Mark Takano,rep,CA,41.0,Democrat,RepMarkTakano,,0,159214207491260,done,
234,234,Alan,Lowenthal,Alan S. Lowenthal,rep,CA,47.0,Democrat,RepLowenthal,,0,no match,missing,
235,235,Juan,Vargas,Juan Vargas,rep,CA,51.0,Democrat,RepJuanVargas,,0,1005557252958353,done,
236,236,Scott,Peters,Scott H. Peters,rep,CA,52.0,Democrat,RepScottPeters,Congressman Scott Peters,100045080170090,no match,missing,
237,237,Lois,Frankel,Lois Frankel,rep,FL,21.0,Democrat,RepLoisFrankel,Rep. Lois Frankel,100044894083793,145862215492466,done,
238,238,Tammy,Duckworth,Tammy Duckworth,sen,IL,,Democrat,SenDuckworth,,0,228132537208218,done,
239,239,Rodney,Davis,Rodney Davis,rep,IL,13.0,Republican,RepRodneyDavis,Rep. Rodney Davis,100044510976355,334748476594191,done,
240,240,Cheri,Bustos,Cheri Bustos,rep,IL,17.0,Democrat,RepCheri,,0,189777861073219,done,
241,241,Jackie,Walorski,Jackie Walorski,rep,IN,2.0,Republican,RepJackieWalorski,,0,282272406201,done,
242,242,Garland,Barr,Andy Barr,rep,KY,6.0,Republican,RepAndyBarr,,0,129203152966,done,
243,243,Elizabeth,Warren,Elizabeth Warren,sen,MA,,Democrat,senatorelizabethwarren,,0,38471053686,missing,
244,244,Angus,King,"Angus S. King, Jr.",sen,ME,,Independent,SenatorAngusSKingJr,,0,no match,missing,
245,245,Daniel,Kildee,Daniel T. Kildee,rep,MI,5.0,Democrat,RepDanKildee,,0,no match,missing,
246,246,Ann,Wagner,Ann Wagner,rep,MO,2.0,Republican,RepAnnWagner,,0,127216280686110,done,
247,247,Steve,Daines,Steve Daines,sen,MT,,Republican,SteveDainesMT,Senator Steve Daines,100044199231545,176789922364429,done,
248,248,Richard,Hudson,Richard Hudson,rep,NC,8.0,Republican,RepRichHudson,,0,229083393820990,done,modified
249,249,Kevin,Cramer,Kevin Cramer,sen,ND,,Republican,CongressmanKevinCramer,,0,251734676525,done,
250,250,Deb,Fischer,Deb Fischer,sen,NE,,Republican,senatordebfischer,,0,109592402468562,done,
251,251,Ann,Kuster,Ann Kuster,rep,NH,2.0,Democrat,CongresswomanAnnieKuster,Congresswoman Annie Kuster,100044720431222,no match,missing,
252,252,Grace,Meng,Grace Meng,rep,NY,6.0,Democrat,repgracemeng,Grace Meng,100045073540372,983573491675080,done,
253,253,Hakeem,Jeffries,Hakeem S. Jeffries,rep,NY,8.0,Democrat,RepHakeemJeffries,,0,no match,missing,
254,254,Sean,Maloney,Sean Patrick Maloney,rep,NY,18.0,Democrat,RepSeanMaloney,Rep. Sean Patrick Maloney,100044495827065,346390085432744,done,
255,255,Brad,Wenstrup,Brad R. Wenstrup,rep,OH,2.0,Republican,RepBradWenstrup,Brad Wenstrup,100044377778080,no match,missing,
256,256,Joyce,Beatty,Joyce Beatty,rep,OH,3.0,Democrat,RepJoyceBeatty,Joyce Beatty,100044311455327,329286557095658,done,
257,257,David,Joyce,David P. Joyce,rep,OH,14.0,Republican,RepDaveJoyce,Rep. Dave Joyce,100044470177938,no match,missing,
258,258,Markwayne,Mullin,Markwayne Mullin,rep,OK,2.0,Republican,RepMullin,,0,150763151677363,done,
259,259,Scott,Perry,Scott Perry,rep,PA,10.0,Republican,repscottperry,Rep. Scott Perry,100044323905116,184104508356643,done,
260,260,Matthew,Cartwright,Matt Cartwright,rep,PA,8.0,Democrat,CongressmanMattCartwright,Congressman Matt Cartwright,100044538935055,350692761610088,done,
261,261,Tom,Rice,Tom Rice,rep,SC,7.0,Republican,reptomrice,Congressman Tom Rice,100044313345338,139766499461199,done,
262,262,Ted,Cruz,Ted Cruz,sen,TX,,Republican,SenatorTedCruz,Senator Ted Cruz,100044423499786,69983322463,done,
263,263,Randy,Weber,"Randy K. Weber, Sr.",rep,TX,14.0,Republican,TXRandy14,Congressman Randy Weber,100044455595316,no match,missing,
264,264,Joaquin,Castro,Joaquin Castro,rep,TX,20.0,Democrat,326420614138023,Congressman Joaquin Castro,100044718652227,219673188073606,done,
265,265,Roger,Williams,Roger Williams,rep,TX,25.0,Republican,RepRogerWilliams,,0,45066294038,done,
266,266,Marc,Veasey,Marc A. Veasey,rep,TX,33.0,Democrat,CongressmanMarcVeasey,Congressman Marc Veasey,100045313320763,no match,missing,
267,267,Filemon,Vela,Filemon Vela,rep,TX,34.0,Democrat,USCongressmanFilemonVela,Congressman Filemon Vela,100045125317959,392278561514332,done,
268,268,Chris,Stewart,Chris Stewart,rep,UT,2.0,Republican,RepChrisStewart,Congressman Chris Stewart,100044411440267,172764672811067,done,
269,269,Timothy,Kaine,Tim Kaine,sen,VA,,Democrat,SenatorKaine,,0,7656215652,done,
270,270,Derek,Kilmer,Derek Kilmer,rep,WA,6.0,Democrat,derek.kilmer,Derek Kilmer,100044393647483,107199049318619,done,
271,271,Mark,Pocan,Mark Pocan,rep,WI,2.0,Democrat,repmarkpocan,,0,436881033058309,done,
272,272,Robin,Kelly,Robin L. Kelly,rep,IL,2.0,Democrat,reprobinkelly,Robin Kelly,100045080140134,no match,missing,
273,273,Jason,Smith,Jason Smith,rep,MO,8.0,Republican,repjasonsmith,Congressman Jason Smith,100044576192987,467804929927622,done,
274,274,Cory,Booker,Cory A. Booker,sen,NJ,,Democrat,,,0,no match,missing,
275,275,Katherine,Clark,Katherine M. Clark,rep,MA,5.0,Democrat,CongresswomanClark,,0,no match,missing,
276,276,Donald,Norcross,Donald Norcross,rep,NJ,1.0,Democrat,DonaldNorcrossNJ,,0,591968597559569,done,
277,277,Alma,Adams,Alma S. Adams,rep,NC,12.0,Democrat,CongresswomanAdams,"Congresswoman Alma S. Adams, PhD",100044794400197,no match,missing,
278,278,Gary,Palmer,Gary J. Palmer,rep,AL,6.0,Republican,CongressmanGaryPalmer,Congressman Gary Palmer,100044530758499,no match,missing,
279,279,J.,Hill,J. Hill,rep,AR,2.0,Republican,RepFrenchHill,,0,1374601146109275,done,modified
280,280,Bruce,Westerman,Bruce Westerman,rep,AR,4.0,Republican,RepWesterman,Congressman Bruce Westerman,100044627318649,521924961194913,done,
281,281,Ruben,Gallego,Ruben Gallego,rep,AZ,7.0,Democrat,RepRubenGallego,Rep. Ruben Gallego,100044404540330,161183970656851,done,
282,282,Mark,DeSaulnier,Mark DeSaulnier,rep,CA,11.0,Democrat,RepMarkDeSaulnier,Rep. Mark DeSaulnier,100044288956834,213999292067099,done,
283,283,Pete,Aguilar,Pete Aguilar,rep,CA,31.0,Democrat,reppeteaguilar,Rep. Pete Aguilar,100045202234574,283932788322459,done,
284,284,Ted,Lieu,Ted Lieu,rep,CA,33.0,Democrat,RepTedLieu,,0,167643896656391,done,
285,285,Norma,Torres,Norma J. Torres,rep,CA,35.0,Democrat,RepNormaTorres,,0,no match,missing,
286,286,Ken,Buck,Ken Buck,rep,CO,4.0,Republican,repkenbuck,,0,74184744386,done,
287,287,Earl,Carter,"Earl L. ""Buddy"" Carter",rep,GA,1.0,Republican,congressmanbuddycarter,Congressman Buddy Carter,100044233036282,no match,missing,
288,288,Jody,Hice,Jody B. Hice,rep,GA,10.0,Republican,CongressmanJodyHice,,0,no match,missing,
289,289,Barry,Loudermilk,Barry Loudermilk,rep,GA,11.0,Republican,reploudermilk,Congressman Barry Loudermilk,100045089229539,123276481201934,done,
290,290,Rick,Allen,Rick W. Allen,rep,GA,12.0,Republican,CongressmanRickAllen,Congressman Rick Allen,100044564190648,no match,missing,
291,291,Mike,Bost,Mike Bost,rep,IL,12.0,Republican,RepBost,Rep. Mike Bost,100043862242825,505874336155964,done,
292,292,Garret,Graves,Garret Graves,rep,LA,6.0,Republican,CongressmanGarretGraves,,0,662684547112113,done,
293,293,Seth,Moulton,Seth Moulton,rep,MA,6.0,Democrat,CongressmanSethMoulton,,0,269499756522301,done,
294,294,John,Moolenaar,John R. Moolenaar,rep,MI,4.0,Republican,RepMoolenaar,,0,no match,missing,
295,295,Debbie,Dingell,Debbie Dingell,rep,MI,12.0,Democrat,RepDebbieDingell,,0,294879797332635,done,
296,296,Brenda,Lawrence,Brenda L. Lawrence,rep,MI,14.0,Democrat,395759603917487,Rep. Brenda Lawrence,100044327024736,no match,missing,
297,297,Tom,Emmer,Tom Emmer,rep,MN,6.0,Republican,reptomemmer,Congressman Tom Emmer,100044815463014,163101747070769,done,
298,298,David,Rouzer,David Rouzer,rep,NC,7.0,Republican,RepRouzer,Rep. David Rouzer,100044355702998,119622908096040,done,
299,299,Bonnie,Watson Coleman,Bonnie Watson Coleman,rep,NJ,12.0,Democrat,RepBonnie,,0,222190161304871,done,
300,300,Lee,Zeldin,Lee M. Zeldin,rep,NY,1.0,Republican,RepLeeZeldin,,0,no match,missing,
301,301,Kathleen,Rice,Kathleen M. Rice,rep,NY,4.0,Democrat,RepKathleenRice,,0,no match,missing,
302,302,Elise,Stefanik,Elise M. Stefanik,rep,NY,21.0,Republican,RepEliseStefanik,Rep. Elise Stefanik,100044381141073,no match,missing,
303,303,John,Katko,John Katko,rep,NY,24.0,Republican,RepJohnKatko,Congressman John Katko,100044348443248,484300471681895,done,
304,304,Brendan,Boyle,Brendan F. Boyle,rep,PA,2.0,Democrat,CongressmanBoyle,,0,no match,missing,
305,305,Brian,Babin,Brian Babin,rep,TX,36.0,Republican,RepBrianBabin,Rep. Brian Babin,100044375983242,683901068308643,done,
306,306,Donald,Beyer,"Donald S. Beyer, Jr.",rep,VA,8.0,Democrat,RepDonBeyer,Congressman Don Beyer,100044424588071,no match,missing,
307,307,Stacey,Plaskett,Stacey E. Plaskett,rep,VI,0.0,Democrat,repstaceyplaskett,Congresswoman Stacey Plaskett,100050806146320,no match,missing,
308,308,Dan,Newhouse,Dan Newhouse,rep,WA,4.0,Republican,RepNewhouse,Rep. Dan Newhouse,100044409640227,309501559175104,done,
309,309,Glenn,Grothman,Glenn Grothman,rep,WI,6.0,Republican,RepGrothman,,0,773301386014306,missing,
310,310,Alexander,Mooney,Alexander Mooney,rep,WV,2.0,Republican,CongressmanAlexMooney,Congressman Alex Mooney,100044928491860,no match,missing,
311,311,Aumua Amata,Radewagen,Aumua Amata Coleman Radewagen,rep,AS,0.0,Republican,aumuaamata,,0,no match,missing,
312,312,Dan,Sullivan,Dan Sullivan,sen,AK,,Republican,SenDanSullivan,Senator Dan Sullivan,100044483767390,698400060189827,done,
313,313,Joni,Ernst,Joni Ernst,sen,IA,,Republican,senjoniernst,,0,586751814690068,done,
314,314,Thom,Tillis,Thom Tillis,sen,NC,,Republican,SenatorThomTillis,,0,375301089246439,done,modified
315,315,Mike,Rounds,Mike Rounds,sen,SD,,Republican,SenatorMikeRounds,U.S. Senator Mike Rounds,100044238915948,370185306396534,done,
316,316,Benjamin,Sasse,Ben Sasse,sen,NE,,Republican,SenatorSasse,,0,207425149422656,done,
317,317,Trent,Kelly,Trent Kelly,rep,MS,1.0,Republican,reptrentkelly,Representative Trent Kelly,100044573081370,855135964527710,done,
318,318,Darin,LaHood,Darin LaHood,rep,IL,18.0,Republican,replahood,Rep. Darin LaHood,100044629050325,1404888666493762,done,
319,319,Warren,Davidson,Warren Davidson,rep,OH,8.0,Republican,CongressmanWarrenDavidson,Congressman Warren Davidson,100044783221697,1671503326464563,done,
320,320,James,Comer,James Comer,rep,KY,1.0,Republican,congressmancomer,Congressman James Comer,100044648137998,1888216188065538,done,
321,321,Dwight,Evans,Dwight Evans,rep,PA,3.0,Democrat,RepDwightEvans,,0,895094683900337,done,
322,322,John,Kennedy,John Kennedy,sen,LA,,Republican,JohnKennedyLouisiana,,0,160513344045084,done,modified
323,323,Margaret,Hassan,Margaret Wood Hassan,sen,NH,,Democrat,SenatorHassan,,0,no match,missing,
324,324,Catherine,Cortez Masto,Catherine Cortez Masto,sen,NV,,Democrat,SenatorCortezMasto,,0,933921763326425,done,
325,325,Bradley,Schneider,Bradley Scott Schneider,rep,IL,10.0,Democrat,CongressmanBradSchneider,Congressman Brad Schneider,100044780869664,no match,missing,
326,326,Tom,O’Halleran,Tom O’Halleran,rep,AZ,1.0,Democrat,repohalleran,,0,no match,missing,
327,327,Andy,Biggs,Andy Biggs,rep,AZ,5.0,Republican,RepAndyBiggs,Congressman Andy Biggs,100044390320909,183963015310306,done,
328,328,Ro,Khanna,Ro Khanna,rep,CA,17.0,Democrat,RepRoKhanna,Rep. Ro Khanna,100044515176138,317667194946264,missing,
329,329,Jimmy,Panetta,Jimmy Panetta,rep,CA,20.0,Democrat,RepJimmyPanetta,,0,1667702233477156,done,
330,330,Salud,Carbajal,Salud O. Carbajal,rep,CA,24.0,Democrat,repsaludcarbajal,,0,no match,missing,
331,331,Nanette,Barragán,Nanette Diaz Barragán,rep,CA,44.0,Democrat,CongresswomanBarragan,US Rep Nanette Diaz Barragán,100044740083870,965181706946254,done,
332,332,J.,Correa,J. Luis Correa,rep,CA,46.0,Democrat,RepLouCorrea,,0,no match,missing,
333,333,Lisa,Blunt Rochester,Lisa Blunt Rochester,rep,DE,0.0,Democrat,Rep.BluntRochester,,0,1624206881186861,done,
334,334,Matt,Gaetz,Matt Gaetz,rep,FL,1.0,Republican,CongressmanMattGaetz,Congressman Matt Gaetz,100044404090370,406456986070332,done,
335,335,Neal,Dunn,Neal P. Dunn,rep,FL,2.0,Republican,drnealdunnfl2,,0,no match,missing,
336,336,John,Rutherford,John H. Rutherford,rep,FL,4.0,Republican,RepRutherfordFL,Congressman John Rutherford,100044334071227,no match,missing,
337,337,Al,Lawson,"Al Lawson, Jr.",rep,FL,5.0,Democrat,RepAlLawsonJr,Rep Al Lawson Jr.,100058062459613,no match,missing,
338,338,Stephanie,Murphy,Stephanie N. Murphy,rep,FL,7.0,Democrat,RepStephMurphy,U.S. Congresswoman Stephanie Murphy,100044901450384,no match,missing,
339,339,Darren,Soto,Darren Soto,rep,FL,9.0,Democrat,CongressmanDarrenSoto,,0,1798692620212857,done,
340,340,Val,Demings,Val Butler Demings,rep,FL,10.0,Democrat,RepresentativeValDemings,,0,no match,missing,
341,341,Charlie,Crist,Charlie Crist,rep,FL,13.0,Democrat,RepCharlieCrist,Congressman Charlie Crist,100044456108915,147447783311,done,
342,342,Brian,Mast,Brian J. Mast,rep,FL,18.0,Republican,repbrianmast,Congressman Brian Mast,100044157383419,no match,missing,
343,343,A.,Ferguson,A. Drew Ferguson IV,rep,GA,3.0,Republican,RepDrewFerguson,Congressman Drew Ferguson,100044629290307,no match,missing,
344,344,Raja,Krishnamoorthi,Raja Krishnamoorthi,rep,IL,8.0,Democrat,congressmanraja,,0,1844412109137727,missing,
345,345,Jim,Banks,Jim Banks,rep,IN,3.0,Republican,RepJimBanks,Congressman Jim Banks,100064574777029,119953292796,done,
346,346,Trey,Hollingsworth,Trey Hollingsworth,rep,IN,9.0,Republican,reptrey,Representative Trey Hollingsworth,100044906118519,178051136001622,done,
347,347,Roger,Marshall,Roger Marshall,sen,KS,,Republican,,,0,111324359048459,done,
348,348,Clay,Higgins,Clay Higgins,rep,LA,3.0,Republican,CongressmanClayHiggins,Congressman Clay Higgins,100044641928314,581436541959362,done,
349,349,Mike,Johnson,Mike Johnson,rep,LA,4.0,Republican,RepMikeJohnson,,0,449202631932231,done,
350,350,Anthony,Brown,Anthony Brown,rep,MD,4.0,Democrat,RepAnthonyBrown,Anthony Brown,100044348361560,1351415261592848,done,
351,351,Jamie,Raskin,Jamie Raskin,rep,MD,8.0,Democrat,repraskin,Rep. Jamie Raskin,100044407540585,297987334762,done,
352,352,Jack,Bergman,Jack Bergman,rep,MI,1.0,Republican,RepJackBergman,Rep. Jack Bergman,100044497386878,1714470218843866,done,
353,353,Ted,Budd,Ted Budd,rep,NC,13.0,Republican,RepTedBudd,Congressman Ted Budd,100044245908589,1585291608451100,done,
354,354,Don,Bacon,Don Bacon,rep,NE,2.0,Republican,RepDonBacon,Congressman Don Bacon,100057293956777,101487585033774,done,
355,355,Josh,Gottheimer,Josh Gottheimer,rep,NJ,5.0,Democrat,RepJoshG,Rep Josh Gottheimer,100044160383033,1024984580892392,done,
356,356,Jacky,Rosen,Jacky Rosen,sen,NV,,Democrat,RepJackyRosen,,0,462669013928631,done,
357,357,Thomas,Suozzi,Thomas R. Suozzi,rep,NY,3.0,Democrat,RepTomSuozzi,,0,no match,missing,
358,358,Adriano,Espaillat,Adriano Espaillat,rep,NY,13.0,Democrat,RepEspaillat,,0,1808068199405179,done,
359,359,Brian,Fitzpatrick,Brian K. Fitzpatrick,rep,PA,1.0,Republican,repbrianfitzpatrick,,0,no match,missing,
360,360,Lloyd,Smucker,Lloyd Smucker,rep,PA,11.0,Republican,RepSmucker,Congressman Lloyd Smucker,100044571873473,1626954784219531,done,
361,361,Jenniffer,González-Colón,Jenniffer González-Colón,rep,PR,0.0,Republican,RepJennifferGonzalezColon,,0,no match,missing,
362,362,David,Kustoff,David Kustoff,rep,TN,8.0,Republican,RepDavidKustoff,,0,1059320777468378,done,
363,363,Vicente,Gonzalez,Vicente Gonzalez,rep,TX,15.0,Democrat,USCongressmanVicenteGonzalez,,0,206690159663661,done,
364,364,Jodey,Arrington,Jodey C. Arrington,rep,TX,19.0,Republican,JodeyArrington,,0,no match,missing,
365,365,A.,McEachin,A. Donald McEachin,rep,VA,4.0,Democrat,RepMcEachin,Congressman Donald McEachin,100058013050152,299511650083944,done,
366,366,Pramila,Jayapal,Pramila Jayapal,rep,WA,7.0,Democrat,RepJayapal,,0,221401431386940,done,
367,367,Mike,Gallagher,Mike Gallagher,rep,WI,8.0,Republican,RepMikeGallagher,Rep. Mike Gallagher,100044260609716,533125513515803,done,
368,368,Liz,Cheney,Liz Cheney,rep,WY,0.0,Republican,replizcheney,,0,548407915183371,done,
369,369,Ron,Estes,Ron Estes,rep,KS,4.0,Republican,RepRonEstes,,0,1684674575133005,done,
370,370,Ralph,Norman,Ralph Norman,rep,SC,5.0,Republican,RepRalphNorman,,0,315402818913523,done,
371,371,Jimmy,Gomez,Jimmy Gomez,rep,CA,34.0,Democrat,RepJimmyGomez,Rep. Jimmy Gomez,100047019825444,154054825137425,done,
372,372,John,Curtis,John R. Curtis,rep,UT,3.0,Republican,RepJohnCurtis,,0,no match,missing,
373,373,Tina,Smith,Tina Smith,sen,MN,,Democrat,USSenTinaSmith,U.S. Senator Tina Smith,100044342803525,2040270322863853,done,
374,374,Cindy,Hyde-Smith,Cindy Hyde-Smith,sen,MS,,Republican,,,0,179042532903649,done,
375,375,Conor,Lamb,Conor Lamb,rep,PA,17.0,Democrat,RepConorLamb,Rep. Conor Lamb,100057778552282,135002490472474,done,
376,376,Debbie,Lesko,Debbie Lesko,rep,AZ,8.0,Republican,RepDebbieLesko,,0,590393634664831,done,
377,377,Michael,Cloud,Michael Cloud,rep,TX,27.0,Republican,,,0,228056857335,done,
378,378,Troy,Balderson,Troy Balderson,rep,OH,12.0,Republican,,,0,522923054735947,done,
379,379,Kevin,Hern,Kevin Hern,rep,OK,1.0,Republican,,,0,339509270166412,done,
380,380,Joseph,Morelle,Joseph D. Morelle,rep,NY,25.0,Democrat,,,0,no match,missing,
381,381,Mary,Scanlon,Mary Gay Scanlon,rep,PA,5.0,Democrat,,,0,406348549806000,done,
382,382,Susan,Wild,Susan Wild,rep,PA,7.0,Democrat,,,0,497741237272262,done,
383,383,Ed,Case,Ed Case,rep,HI,1.0,Democrat,,,0,385494895552183,done,
384,384,Steven,Horsford,Steven Horsford,rep,NV,4.0,Democrat,,,0,156919911022572,done,
385,385,Ann,Kirkpatrick,Ann Kirkpatrick,rep,AZ,2.0,Democrat,,,0,137746666253194,done,
386,386,Greg,Stanton,Greg Stanton,rep,AZ,9.0,Democrat,,,0,346635392021104,done,
387,387,Josh,Harder,Josh Harder,rep,CA,10.0,Democrat,,,0,1400772006635782,done,
388,388,Katie,Porter,Katie Porter,rep,CA,45.0,Democrat,,,0,428821014132730,done,
389,389,Mike,Levin,Mike Levin,rep,CA,49.0,Democrat,,,0,388316574835659,done,
390,390,Joe,Neguse,Joe Neguse,rep,CO,2.0,Democrat,,,0,180252152142614,done,
391,391,Jason,Crow,Jason Crow,rep,CO,6.0,Democrat,,,0,280704452367167,done,
392,392,Jahana,Hayes,Jahana Hayes,rep,CT,5.0,Democrat,,,0,241247646424302,done,
393,393,Michael,Waltz,Michael Waltz,rep,FL,6.0,Republican,,,0,252274592332946,done,
394,394,W.,Steube,W. Gregory Steube,rep,FL,17.0,Republican,,,0,no match,missing,
395,395,Lucy,McBath,Lucy McBath,rep,GA,6.0,Democrat,,,0,2046092952294722,done,
396,396,Michael,San Nicolas,Michael F. Q. San Nicolas,rep,GU,0.0,Democrat,CongressmanMichaelF.Q.SanNicolas,Congressman Michael F.Q. San Nicolas - Guam,100057709434580,no match,missing,
397,397,Cynthia,Axne,Cynthia Axne,rep,IA,3.0,Democrat,,,0,no match,missing,
398,398,Russ,Fulcher,Russ Fulcher,rep,ID,1.0,Republican,,,0,322194751726887,done,
399,399,Jesús,García,"Jesús G. ""Chuy"" García",rep,IL,4.0,Democrat,,,0,no match,missing,
400,400,Sean,Casten,Sean Casten,rep,IL,6.0,Democrat,,,0,1934158976830122,done,
401,401,Lauren,Underwood,Lauren Underwood,rep,IL,14.0,Democrat,,,0,241672016328637,done,
402,402,James,Baird,James R. Baird,rep,IN,4.0,Republican,,,0,no match,missing,
403,403,Greg,Pence,Greg Pence,rep,IN,6.0,Republican,,,0,868348663497441,done,
404,404,Sharice,Davids,Sharice Davids,rep,KS,3.0,Democrat,,,0,1790258774419239,done,
405,405,Lori,Trahan,Lori Trahan,rep,MA,3.0,Democrat,,,0,598408017216304,done,
406,406,Ayanna,Pressley,Ayanna Pressley,rep,MA,7.0,Democrat,,,0,79820371749,done,
407,407,David,Trone,David J. Trone,rep,MD,6.0,Democrat,,,0,no match,missing,
408,408,Elissa,Slotkin,Elissa Slotkin,rep,MI,8.0,Democrat,,,0,1012679305536045,done,
409,409,Andy,Levin,Andy Levin,rep,MI,9.0,Democrat,,,0,253507715172780,done,
410,410,Haley,Stevens,Haley M. Stevens,rep,MI,11.0,Democrat,,,0,no match,missing,
411,411,Rashida,Tlaib,Rashida Tlaib,rep,MI,13.0,Democrat,,,0,134597023235240,done,
412,412,Jim,Hagedorn,Jim Hagedorn,rep,MN,1.0,Republican,,,0,108252177711618,done,
413,413,Angie,Craig,Angie Craig,rep,MN,2.0,Democrat,,,0,1642386799323957,done,
414,414,Dean,Phillips,Dean Phillips,rep,MN,3.0,Democrat,,,0,225507764589310,done,
415,415,Ilhan,Omar,Ilhan Omar,rep,MN,5.0,Democrat,,,0,780941275347834,done,
416,416,Pete,Stauber,Pete Stauber,rep,MN,8.0,Republican,,,0,148899492344271,done,
417,417,Michael,Guest,Michael Guest,rep,MS,3.0,Republican,,,0,1446823768756602,done,
418,418,Kelly,Armstrong,Kelly Armstrong,rep,ND,0.0,Republican,,,0,809836039361670,done,
419,419,Chris,Pappas,Chris Pappas,rep,NH,1.0,Democrat,,,0,154510321337994,done,
420,420,Jefferson,Van Drew,Jefferson Van Drew,rep,NJ,2.0,Republican,,,0,no match,missing,
421,421,Andy,Kim,Andy Kim,rep,NJ,3.0,Democrat,,,0,1413682351987764,done,
422,422,Tom,Malinowski,Tom Malinowski,rep,NJ,7.0,Democrat,,,0,858210161010020,done,
423,423,Mikie,Sherrill,Mikie Sherrill,rep,NJ,11.0,Democrat,,,0,1156676274461345,done,
424,424,Susie,Lee,Susie Lee,rep,NV,3.0,Democrat,,,0,868259909915525,done,
425,425,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,rep,NY,14.0,Democrat,,,0,1316372698453411,done,
426,426,Antonio,Delgado,Antonio Delgado,rep,NY,19.0,Democrat,,,0,359153387814647,done,
427,427,Anthony,Gonzalez,Anthony Gonzalez,rep,OH,16.0,Republican,,,0,474676692900828,done,
428,428,Madeleine,Dean,Madeleine Dean,rep,PA,4.0,Democrat,,,0,143909879708775,missing,
429,429,Chrissy,Houlahan,Chrissy Houlahan,rep,PA,6.0,Democrat,,,0,1819973358326612,done,
430,430,Daniel,Meuser,Daniel Meuser,rep,PA,9.0,Republican,,,0,no match,missing,
431,431,John,Joyce,John Joyce,rep,PA,13.0,Republican,,,0,1054570378014827,missing,
432,432,Guy,Reschenthaler,Guy Reschenthaler,rep,PA,14.0,Republican,,,0,1955556614754164,done,
433,433,William,Timmons,William R. Timmons IV,rep,SC,4.0,Republican,,,0,no match,missing,
434,434,Dusty,Johnson,Dusty Johnson,rep,SD,0.0,Republican,,,0,2099566776755945,done,
435,435,Tim,Burchett,Tim Burchett,rep,TN,2.0,Republican,,,0,107330253280356,done,
436,436,John,Rose,John Rose,rep,TN,6.0,Republican,,,0,448838595500528,done,
437,437,Mark,Green,Mark E. Green,rep,TN,7.0,Republican,,,0,no match,missing,
438,438,Dan,Crenshaw,Dan Crenshaw,rep,TX,2.0,Republican,,,0,514167322309353,done,
439,439,Van,Taylor,Van Taylor,rep,TX,3.0,Republican,,,0,340393855322,done,
440,440,Lance,Gooden,Lance Gooden,rep,TX,5.0,Republican,,,0,139151419572310,done,
441,441,Lizzie,Fletcher,Lizzie Fletcher,rep,TX,7.0,Democrat,,,0,374666643098092,done,
442,442,Veronica,Escobar,Veronica Escobar,rep,TX,16.0,Democrat,,,0,261548845154,done,
443,443,Chip,Roy,Chip Roy,rep,TX,21.0,Republican,,,0,193628397865385,done,
444,444,Sylvia,Garcia,Sylvia R. Garcia,rep,TX,29.0,Democrat,,,0,no match,missing,
445,445,Colin,Allred,Colin Z. Allred,rep,TX,32.0,Democrat,,,0,no match,missing,
